audio_path,true_label,pred_label
datasets/ascend/audio/validation/000001.wav,1,0
datasets/ascend/audio/train/000002.wav,1,0
datasets/ascend/audio/train/000003.wav,1,0
datasets/ascend/audio/train/000005.wav,1,0
datasets/ascend/audio/train/000005.wav,1,0
datasets/ascend/audio/train/000006.wav,1,1
datasets/ascend/audio/validation/000007.wav,1,0
datasets/ascend/audio/test/000009.wav,1,0
datasets/ascend/audio/train/000010.wav,1,0
datasets/ascend/audio/validation/000010.wav,1,0
datasets/ascend/audio/validation/000010.wav,1,0
datasets/ascend/audio/train/000013.wav,1,0
datasets/ascend/audio/train/000013.wav,1,0
datasets/ascend/audio/train/000015.wav,1,0
datasets/ascend/audio/train/000015.wav,1,0
datasets/ascend/audio/validation/000015.wav,1,0
datasets/ascend/audio/validation/000015.wav,1,0
datasets/ascend/audio/validation/000015.wav,1,0
datasets/ascend/audio/train/000016.wav,1,0
datasets/ascend/audio/train/000016.wav,1,0
datasets/ascend/audio/validation/000016.wav,1,1
datasets/ascend/audio/validation/000021.wav,1,1
datasets/ascend/audio/validation/000021.wav,1,0
datasets/ascend/audio/validation/000023.wav,1,1
datasets/ascend/audio/validation/000023.wav,1,0
datasets/ascend/audio/validation/000028.wav,1,0
datasets/ascend/audio/validation/000028.wav,1,0
datasets/ascend/audio/validation/000030.wav,1,0
datasets/ascend/audio/validation/000030.wav,1,0
datasets/ascend/audio/train/000031.wav,1,0
datasets/ascend/audio/validation/000035.wav,1,0
datasets/ascend/audio/validation/000035.wav,1,0
datasets/ascend/audio/validation/000037.wav,1,0
datasets/ascend/audio/validation/000037.wav,1,0
datasets/ascend/audio/validation/000037.wav,1,0
datasets/ascend/audio/validation/000037.wav,1,0
datasets/ascend/audio/validation/000037.wav,1,0
datasets/ascend/audio/train/000041.wav,1,0
datasets/ascend/audio/validation/000041.wav,1,1
datasets/ascend/audio/validation/000043.wav,1,0
datasets/ascend/audio/validation/000043.wav,1,0
datasets/ascend/audio/validation/000043.wav,1,0
datasets/ascend/audio/train/000049.wav,1,0
